,neighborhood,neighborhood_no,area,Year,Indicator Name,Value
28,Wallingford,203,258.0056129,2020,10_year_growth_kids,138.0
29,Ballard,303,495.4763052,2020,10_year_growth_kids,379.0
30,South Park,128,263.7986201,2020,10_year_growth_kids,-170.0
31,Othello,123,498.9632413,2020,10_year_growth_kids,58.0
0,Upper Queen Anne,106,52.65872029,1990,10_year_frac_growth_kids,
1,Fremont,302,214.511083,1990,10_year_frac_growth_kids,
2,West Seattle Junction,205,270.4170255,1990,10_year_frac_growth_kids,
3,Columbia City,111,334.5433404,1990,10_year_frac_growth_kids,
4,First Hill/Capitol Hill,414,916.2218015,1990,10_year_frac_growth_kids,
5,Roosevelt,202,170.2117761,1990,10_year_frac_growth_kids,
6,South Lake Union,312,339.886927,1990,10_year_frac_growth_kids,
7,University District,401,751.9638778,1990,10_year_frac_growth_kids,
8,Crown Hill,103,270.9887543,1990,10_year_frac_growth_kids,
9,Westwood-Highland Park,127,275.0621961,1990,10_year_frac_growth_kids,
10,Lake City,201,142.2670425,1990,10_year_frac_growth_kids,
11,Greater Duwamish,502,4953.281793,1990,10_year_frac_growth_kids,
12,Madison-Miller,131,145.3234203,1990,10_year_frac_growth_kids,
13,Green Lake,207,107.4446385,1990,10_year_frac_growth_kids,
14,Northgate,301,412.2911233,1990,10_year_frac_growth_kids,
15,North Beacon Hill,110,266.8762908,1990,10_year_frac_growth_kids,
16,Ballard-Interbay-Northend,501,931.9728637,1990,10_year_frac_growth_kids,
17,Greenwood-Phinney Ridge,102,94.15764497,1990,10_year_frac_growth_kids,
18,Downtown,413,953.2817465,1990,10_year_frac_growth_kids,
19,Uptown,412,333.000698,1990,10_year_frac_growth_kids,
20,Rainier Beach,204,346.1438736,1990,10_year_frac_growth_kids,
21,23rd & Union-Jackson,109,625.2664128,1990,10_year_frac_growth_kids,
22,Bitter Lake Village,114,363.7795662,1990,10_year_frac_growth_kids,
23,Mt Baker,305,491.0180584,1990,10_year_frac_growth_kids,
24,Admiral,113,98.24835065,1990,10_year_frac_growth_kids,
25,Aurora-Licton Springs,101,326.9585992,1990,10_year_frac_growth_kids,
26,Morgan Junction,206,113.3093773,1990,10_year_frac_growth_kids,
27,Eastlake,107,199.2559558,1990,10_year_frac_growth_kids,
28,Wallingford,203,258.0056129,1990,10_year_frac_growth_kids,
